AreaOfInterestID,longitude,latitude,AreaOfInterest
296,-81.700783,30.582283,Mills Creek
7,-81.7441,28.1001,"Alfred, Lake"
622,-81.503404,27.586911,Tulane Lake
465,-82.6065,29.5555,Watermelon Pond
1662,-84.939122,30.74771,Apalachee Wildlife Management Area
988,-81.413537,27.274964,"August, Lake"
1667,-80.799004,27.215053,Lower Taylor Creek
169,-81.82129,29.159,Half Moon Lake
294,-81.839859,29.179932,Mill Dam Lake
1682,-87.061108,30.470447,Garcon Point WMA
1666,-84.523,30.48886,Joe Budd Pond
156,-82.01323,29.76989,Geneva Lake
1669,-81.475848,27.560515,Little Lake Bonnet
148,-83.40907,30.4664,"Francis, Lake"
12,-82.79015,28.1743,Anclote River
248,-82.450667,27.702933,Little Manatee River
1421,-81.91943272,28.88989159,"Ella, Lake"
224,-81.85742,29.21728,"Jumper, Lake"
365,-81.473211,27.541302,"Red Water, Lake"
399,-81.448071,28.268613,Shingle Creek
44,-81.441054,27.543738,"Bonnet, Lake"
623,-81.419917,27.354579,Jacks Creek
155,-81.30501,28.86107,Gemini Springs
287,-81.22399393,28.89887257,"McGarity, Lake"
131,-80.628117,28.114846,Elbow Creek
387,-80.263417,27.299341,Savannas
22,-83.96311,30.15056,Aucilla River
465,-82.6065,29.5555,Watermellon Pond
1315,-82.57713556,28.15378878,"Wood, Lake"
440,-81.67347,30.5561,Thomas Creek
78,-81.233417,28.965117,"Colby, Lake"
35,-87.02926,30.60634,Blackwater River
57,-82.325369,28.544136,Bystre
625,-81.96609374,28.10703378,Grady Lake
171,-81.92691,29.04052,Halls River
50,-81.83419,29.17843,"Bryant, Lake"
392,-81.63754,29.11532,Sellers Lake
300,-81.619167,28.019167,"Minzie, Lake"
1018,-81.50437486,28.44446668,"Tucker, Lake"
369,-81.477015,28.745623,Rock Spring Run
252,-81.3971,28.683933,Little Wekiva River
251,-82.07824,29.77319,Little Santa Fe Lake
1483,-81.86976573,29.17634152,"Silver, Lake"
406,-85.672378,30.74202,Smith Lake
362,-83.46141,30.45747,"Rachel, Lake"
201,-82.790867,29.944885,Ichetucknee River
4,-82.320475,27.867147,Alafia River
658,-81.470522,28.502143,"Turkey, Lake"
1060,-81.45075788,28.16397275,Reedy Creek
848,-80.44812825,25.47794839,Homestead FS Waterways
1494,-81.363581,29.134702,DeLeon Springs St Park Wetlands
354,-81.653328,30.595578,Plummers Creek
256,-81.571296,30.623478,Lofton Creek
824,-81.3278139,28.67156362,"Triplet, Lake"
1524,NA,NA,Administration
1529,NA,NA,Administration
127,-83.90665,30.05877,Econfina River
93,-81.73537,29.54245,Cross Florida Barge Canal
41,-81.733505,30.551595,Boggy Creek
296,-81.68726,30.58339,Mills Creek
0,NA,NA,NA
416,-81.840288,30.78673,St. Mary's River
743,-81.56879684,28.48542268,"Davis, Lake"
